Content Type,Extracted Data,Extra Info / Link
H2,BREAKING NEWS,
H2,"बिहार में पहली बार बनेगा बीजेपी का CM, नीतीश की जगह लेंगे सम्राट चौधरी, कल शपथ ग्रहण",
H2,"होर्मुज ब्लॉकेड के लिए US ने उतारे 10 हजार कमांडो, फारस की खाड़ी पर अमेरिकी कंट्रोल!",
H2,शॉर्ट वीडियो,
H2,बड़ी ख़बरें,
H2,इंडिया टुडे हिंदी,
H2,वीडियो,
H2,विजुअल स्टोरीज़,
H2,मनोरंजन,
H2,राज्यवार खबरें,
H2,जुर्म,
H2,खेल,
H2,लाइफस्टाइल,
H2,धर्म,
H2,राशिफल,
H2,टेक्नोलॉजी,
H2,एजुकेशन,
H2,बिजनेस,
H2,विश्व,
H2,साइंस न्यूज़,
H2,ऑटो,
H2,हेल्थ,
H2,विचार एवं विश्लेषण,
H2,डिफेंस न्यूज,
H2,साहित्य,
H2,आपका वोट,
H2,आजतक रेडियो,
H2,বাংলা,
H2,GNT TV,
H2,Explained,
H2,India Today,
H3,नीरव मोदी को जल्द लाया जा सकता है भारत! लंदन में मौजूद CBI की टीम,
H3,यूरोप के मानवाधिकार अदालत (ECHR) ने भगोड़े हीरा कारोबारी नीरव मोदी को गुमनामी की अनुमति दी है. इसके बाद अब उसके...,
H3,"आपकी जरूरत की हर खबर, आजतक ई-पेपर में, पढ़ें बिल्कुल मुफ्त",
H3,"मलयाली एक्टर ने 'जबरदस्ती' एक्ट्रेस को खिलाया बीफ, भड़के यूजर्स",
H3,"ये 5 संकेत... कल शेयर बाजार में होगी बल्‍ले-बल्‍ले, ETFs वाले भी छापेंगे पैसा!",
H3,"पाकिस्तान में दूसरी बार मिल सकते हैं US-ईरान, ट्रंप बोले- हम बातचीत को तैयार",
H3,विराट कोहली अगले मैच से होंगे OUT? इंजरी पर आई ये अपडेट,
H3,"'जिम जिहाद', अरबपति की बीवी और लाखों की वसूली... 'गंदे खेल' का खुलासा",
H3,"ज्येष्ठ में 4 या 5 नहीं, 8 बड़े मंगल, नोट करें तारीख और शुभ मुहूर्त",
H3,"LIVE: केकेआर की बैटिंग जारी, सीएसके ने दिया है 193 रनों का लक्ष्य",
H3,होर्मुज पर चीन-US में तनाव... देखें मिडिल ईस्ट के हालात पर स्पेशल कवरेज,
H3,"TCS स्कैंडल: उत्पीड़न और कन्वर्जन का पैटर्न, अंडरकवर ऑपरेशन से हुए नए खुलासे",
H3,"सपोर्टिंग एक्टर्स से बात नहीं करते बड़े सितारे, एक्टर ने खोली पोल",
H3,"'दो मिनट में इटली को तबाह कर देगा ईरान', दोस्त मेलोनी पर क्यों भड़के ट्रंप!",
H3,"CM योगी की रैली के दौरान 'टल्ली' हुए दारोगा जी, जमीन पर लोटते दिखे",
H3,इजरायल-लेबनान में युद्धविराम पर बनेगी बात? हिज्बुल्लाह ने वार्ता का किया बॉयकॉट,
H3,"सम्राट चौधरी के CM बनने की घोषणा पर गांव में जश्न, चर्चा में आया भाभी का बयान",
H3,फर्स्ट लैंग्वेज अंग्रेजी न होने पर ब्रिटेन में भारतीय महिला को जॉब से निकाला,
H3,"इस तरह बनाएं सहजन की सब्जी, बच्चे भी मांग-मांग कर खाएंगे",
H3,"प्रफुल्ल हिंगे की 6 गेंदों का जादू, इंटरनेट पर फॉलोवर्स हुए बेकाबू",
H3,कभी नीतीश की गद्दी बचाने वाले सम्राट अब बनेंगे बिहार में उनके उत्तराधिकारी,
H3,बंगाल में BJP का 'कार्पेट बॉम्बिंग' कैंपेन चुनावी माहौल को बदल पाएगा?,
H3,कुछ और पसरे यूसीसी के पांव,
H3,"वेदांता पावर प्लांट में बड़ा हादसा, बॉयलर फटने से 10 लोगों की मौत",
